Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
coffret de vin personnalisée,44,44,40,65.94,0.57,https://wobz.fr/coffrets/coffrets-a-vin.html,0,0,0.00,1,2180000,"[21,100,7,21,29,7,7,7,7,7,7,7]",1582258898,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
verre de biere plastique,96,96,70,70.5,0.00,https://wobz.fr/verres-personnalises/verres-a-biere-personnalises.html?___store=wz_fr,0,0,0.00,0.86,3330000,"[22,11,0,0,33,11,100,11,22,44,11,11]",1582664544,"Image pack, Reviews"
coupe a vin personnalisé,30,30,70,65.21,0.00,https://wobz.fr/verres-personnalises/verres-a-vin-personnalises.html?___store=wz_fr,0,0,0.00,0,1350000,"[0,0,0,100,0,0,0,0,0,0,0,0]",1582792189,"Image pack, Site links, Reviews, Video"
verre en plastique personnalisable,55,55,90,65.7,0.75,https://wobz.fr/,0,0,0.00,1,464000,"[5,14,10,5,100,52,5,100,52,5,5,14]",1583989468,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
4 images 1 mot gobelet,14,14,70,73.34,0.00,https://wobz.fr/gobelet-personnalise-25cl-qualite-photo.html,0,0,0.00,0,66,"[14,14,14,29,14,100,57,14,29,14,29,29]",1582615017,"Image pack, Reviews, Video"
verre a biere personnalisé,41,41,320,71.02,0.57,https://wobz.fr/verres-personnalises/verres-a-biere-personnalises.html,0,0,0.00,1,97,"[15,29,29,44,54,24,29,36,36,82,100,24]",1584165729,"Image pack, Reviews, Video, AdWords top, Shopping ads"
just married mariage,96,96,70,80.14,0.00,https://wobz.fr/gobelet-personnalise-mariage-just-married.html,0,0,0.00,0,19300000,"[0,0,0,11,11,11,11,100,11,0,0,0]",1584160358,"Image pack, Reviews, Video Carousel"
beaux verres a eau,29,29,50,85.66,0.00,https://wobz.fr/verres-personnalises-plastique,0,0,0.00,0.96,96,"[0,0,0,0,0,0,0,0,0,0,100,100]",1584211711,"Image pack, Site links, Reviews, Video"
contenant gobelet plastique,22,22,50,75.79,0.00,https://wobz.fr/gobelet-vierge-25-cl.html,0,0,0.00,1,514000,"[67,33,33,33,33,33,33,33,33,100,33,33]",1584422562,"Image pack, Reviews, Shopping ads"
gobelet biere personnalisé mariage,12,12,70,64.97,0.79,https://wobz.fr/gobelet-personnalise-mariage-car.html,0,0,0.00,1,55,"[0,0,0,0,0,0,29,14,14,29,100,14]",1584434124,"Image pack, Site links, Reviews"
texte evjf,31,31,50,72.26,0.00,https://wobz.fr/gobelet-personnalise-pour-evjf-vs-evjg.html,0,0,0.00,0,138000,"[12,6,6,6,6,100,82,6,6,41,6,6]",1583897538,"Image pack, Site links, Reviews, Video"
gobelet sur mesure,23,23,70,71.93,0.92,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html,0,0,0.00,1,6350000,"[11,11,11,100,11,11,11,11,33,11,11,11]",1583716370,"Image pack, Site links, Reviews, Video"
bambi information,59,59,40,86.4,0.00,https://wobz.fr/gobelet-personnalise-pour-naissance-bambi.html,0,0,0.00,0,45700000,"[100,100,0,0,0,0,0,0,0,100,0,0]",1583465158,"Knowledge panel, Reviews, Video, Video Carousel"
verre à vin de qualité,48,48,90,73.14,0.30,https://wobz.fr/verre-a-vin-personnalise-cabernet-en-plastique-qualite-photo.html,0,0,0.00,1,27000000,"[25,100,50,25,0,25,50,25,50,25,25,25]",1582372753,"Image pack, Site links, Reviews, Featured snippet, Shopping ads, People also ask"
flute maghreb,44,44,50,77.49,0.00,https://wobz.fr/gobelet-personnalise-mariage-maghreb.html,0,0,0.00,0,1080000,"[5,5,5,10,5,5,5,24,5,52,100,19]",1584190910,"Image pack, Site links, Reviews, Video"
gobelet anniversaire,49,49,210,76.51,0.34,https://wobz.fr/gobelet-anniversaire-elements.html,0,0,0.00,1,978000,"[53,66,53,66,81,81,66,81,81,81,44,100]",1584525910,"Image pack, Reviews, Video"
mariage oriental 2018,90,90,50,27.15,0.00,https://wobz.fr/gobelet-personnalise-mariage-oriental.html,0,0,0.00,0.5,11700000,"[14,71,14,71,14,14,14,100,14,29,14,43]",1582931060,"Image pack, Reviews, Video"
gobelet com,39,39,140,47.63,0.61,https://wobz.fr/,0,0,0.00,0.59,30700000,"[35,42,65,81,100,81,65,54,35,27,27,15]",1582309758,"Site links, Reviews, Video"
gourde verre incassable,27,0,140,71.06,0.32,https://wobz.fr/gourdes-personnalisees,0,0,0.00,1,87100,"[28,100,66,34,34,34,44,53,22,34,22,22]",1584576369,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gourde verre incassable,28,34,140,71.06,0.32,https://wobz.fr/gourdes-personnalisees-tacx-shiva-7cm-500ml.html,0,0,0.00,1,87100,"[28,100,66,34,34,34,44,53,22,34,22,22]",1584576369,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
bouteille champagne personnalisée,91,91,210,67.87,0.98,https://wobz.fr/bouteille-d-eau-personnalisee.html,0,0,0.00,1,486000,"[44,44,53,66,100,66,66,66,81,81,100,81]",1583621859,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
flute champagne tritan,16,16,50,62.66,0.00,https://wobz.fr/flute-a-champagne-personnalisee-effervescence-en-plastique-qualite-photo.html,0,0,0.00,1,175000,"[100,0,25,0,50,0,50,25,0,50,25,25]",1582833303,"Image pack, Reviews, Video, Shopping ads"
gobelet reutilisable prenom,53,53,40,62.24,0.44,https://wobz.fr/gobelet-personnalise-mariage-cadre.html,0,0,0.00,1,92,"[36,27,9,9,9,9,18,100,9,45,9,64]",1584315311,"Image pack, Site links, Reviews"
verre a biere pas cher,47,47,260,81.61,0.23,https://wobz.fr/verres-personnalises/verres-a-biere-personnalises.html,0,0,0.00,1,281000,"[44,54,67,67,67,44,54,44,35,54,100,29]",1584173343,"Local pack, Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet réutilisable 25 cl,23,23,210,65.95,0.74,https://wobz.fr/gobelet-vierge-25-cl.html,0,0,0.00,1,88,"[44,66,81,100,100,81,66,53,66,53,44,100]",1584261183,"Image pack, Site links, Reviews"
gobelet en plastique personnalisé,58,58,90,61.16,0.68,https://wobz.fr/,0,0,0.00,1,309000,"[7,14,7,14,7,7,79,7,100,79,14,7]",1582787308,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
vin personnalisé,64,64,320,68.88,0.48,https://wobz.fr/verre-a-vin-personnalise-cabernet-en-plastique-qualite-photo.html,0,0,0.00,1,9110000,"[24,44,36,54,44,36,29,36,36,67,100,29]",1584442980,"Local pack, Image pack, Site links, Reviews"
gobelet personnalisé pour anniversaire,20,20,110,58.92,0.77,https://wobz.fr/gobelet-anniversaire-cheers.html,0,0,0.00,1,580000,"[24,24,24,43,43,67,67,67,67,100,67,43]",1583406187,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
verre gobelet prenom,21,21,50,66.05,0.00,https://wobz.fr/gobelet-personnalise-mariage-cadre.html,0,0,0.00,0.43,301000,"[40,40,20,100,20,100,20,20,40,20,40,20]",1584160126,"Image pack, Site links, Reviews, Shopping ads"
verre à bière personnalisé photo,46,46,90,70.71,0.46,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html,0,0,0.00,1,3770000,"[11,22,11,33,56,44,11,100,11,22,11,11]",1583989468,"Image pack, Reviews, Image, AdWords top, AdWords bottom, Shopping ads"
fleur en gobelet,25,25,40,72.85,0.00,https://wobz.fr/gobelet-mariage-bouquet-de-fleurs.html,0,0,0.00,0,1220000,"[100,100,100,100,100,100,100,100,0,0,0,0]",1582770024,"Image pack, Reviews, Shopping ads, Video Carousel"
photo sur plastique,46,46,70,79.73,0.61,https://wobz.fr/verre-a-vin-personnalise-cabernet-en-plastique-qualite-photo.html,0,0,0.00,1,140000000,"[14,71,100,14,29,14,14,29,100,29,14,14]",1584209646,"Image pack, Site links, Reviews, Video Carousel"
verre en polypropylène,76,76,50,71.59,0.00,https://wobz.fr/verre-mojito-personnalise-blanc.html,0,0,0.00,0.92,3520000,"[57,29,14,14,14,29,71,14,100,14,14,14]",1583974081,"Image pack, Site links, Reviews, Shopping ads"
gobelet personnalisé unité,31,31,40,57.49,0.45,https://wobz.fr/gobelet-personnalise-25cl-qualite-photo.html,0,0,0.00,0.9,257000,"[6,12,6,18,12,6,24,6,100,6,6,12]",1583058772,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
